id,EAP,HPL,MWS
id00008,0.36,0.36,0.28
id00011,0.44,0.3,0.26
id00013,0.1,0.72,0.18
id00018,0.44,0.2,0.36
id00020,0.38,0.32,0.3
id00023,0.14,0.76,0.1
id00025,0.38,0.4,0.22
id00026,0.48,0.16,0.36
id00040,0.32,0.46,0.22
id00041,0.18,0.34,0.48
id00044,0.16,0.14,0.7
id00046,0.44,0.34,0.22
id00047,0.2,0.48,0.32
id00055,0.1,0.22,0.68
id00058,0.62,0.36,0.02
id00059,0.86,0.12,0.02
id00066,0.48,0.24,0.28
id00069,0.28,0.52,0.2
id00071,0.56,0.18,0.26
id00072,0.4,0.14,0.46
id00074,0.6,0.22,0.18
id00076,0.22,0.44,0.34
id00083,0.5,0.32,0.18
id00085,0.48,0.4,0.12
id00087,0.48,0.38,0.14
id00088,0.32,0.34,0.34
id00089,0.86,0.04,0.1
id00092,0.28,0.08,0.64
id00096,0.6,0.24,0.16
id00101,0.56,0.36,0.08
id00102,0.28,0.32,0.4
id00104,0.52,0.3,0.18
id00105,0.3,0.1,0.6
id00110,0.36,0.26,0.38
id00111,0.18,0.6,0.22
id00112,0.52,0.36,0.12
id00114,0.44,0.42,0.14
id00115,0.74,0.22,0.04
id00116,0.86,0.08,0.06
id00118,0.84,0.04,0.12
id00121,0.64,0.1,0.26
id00124,0.54,0.18,0.28
id00125,0.54,0.26,0.2
id00126,0.3,0.46,0.24
id00132,0.6,0.18,0.22
id00134,0.32,0.42,0.26
id00137,0.24,0.46,0.3
id00139,0.46,0.24,0.3
id00140,0.44,0.26,0.3
id00142,0.24,0.5,0.26
id00157,0.88,0.06,0.06
id00160,0.76,0.22,0.02
id00167,0.32,0.4,0.28
id00173,0.42,0.18,0.4
id00176,0.46,0.26,0.28
id00177,0.46,0.02,0.52
id00178,0.44,0.22,0.34
id00183,0.52,0.18,0.3
id00184,0.3,0.42,0.28
id00189,0.4,0.44,0.16
id00190,0.42,0.38,0.2
id00191,0.62,0.2,0.18
id00192,0.4,0.2,0.4
id00194,0.26,0.14,0.6
id00195,0.78,0.12,0.1
id00196,0.32,0.24,0.44
id00199,0.24,0.3,0.46
id00203,0.5,0.18,0.32
id00206,0.7,0.16,0.14
id00210,0.36,0.38,0.26
id00214,0.38,0.06,0.56
id00215,0.52,0.3,0.18
id00217,0.46,0.3,0.24
id00219,0.46,0.28,0.26
id00228,0.98,0.02,0
id00231,0.4,0.44,0.16
id00233,0.74,0,0.26
id00235,0.48,0.2,0.32
id00240,0.72,0.1,0.18
id00243,0.74,0.14,0.12
id00245,0.42,0.26,0.32
id00247,0.44,0.4,0.16
id00249,0.22,0.44,0.34
id00258,0.28,0.32,0.4
id00262,0.42,0.32,0.26
id00263,0.74,0.18,0.08
id00266,0.64,0.04,0.32
id00269,0.12,0.26,0.62
id00273,0.32,0.22,0.46
id00274,0.64,0.28,0.08
id00294,0.38,0.12,0.5
id00296,0.3,0.24,0.46
id00298,0.26,0.4,0.34
id00300,0.34,0.28,0.38
id00305,0.2,0.08,0.72
id00313,0.26,0.42,0.32
id00319,0.58,0.2,0.22
id00320,0.76,0.14,0.1
id00325,0.76,0.06,0.18
id00326,0.72,0.1,0.18
id00327,0.2,0.16,0.64
id00328,0.66,0.06,0.28
id00330,0.34,0.46,0.2
id00331,0.12,0.28,0.6
id00333,0.52,0.26,0.22
id00335,0.34,0.4,0.26
id00339,0.58,0.22,0.2
id00340,0.64,0.18,0.18
id00342,0.18,0.66,0.16
id00343,0.62,0.12,0.26
id00344,0.5,0.22,0.28
id00345,0.8,0.1,0.1
id00346,0.22,0.2,0.58
id00347,0.54,0.16,0.3
id00348,0.46,0.36,0.18
id00349,0.42,0.26,0.32
id00350,0.18,0.02,0.8
id00351,0.7,0.2,0.1
id00352,0.32,0.36,0.32
id00355,0.3,0.38,0.32
id00356,0.3,0.34,0.36
id00360,0.42,0.4,0.18
id00364,0.94,0.04,0.02
id00366,0.62,0.3,0.08
id00367,0.72,0.16,0.12
id00372,0.4,0.3,0.3
id00373,0.12,0.2,0.68
id00378,0.3,0.16,0.54
id00380,0.4,0.24,0.36
id00382,0.46,0.42,0.12
id00395,0.6,0.08,0.32
id00397,0.4,0.12,0.48
id00398,0.5,0.42,0.08
id00399,0.44,0.04,0.52
id00401,0.46,0.14,0.4
id00406,0.24,0.32,0.44
id00407,0.7,0.04,0.26
id00409,0.56,0.2,0.24
id00411,0.5,0.36,0.14
id00414,0.3,0.16,0.54
id00416,0.54,0.26,0.2
id00417,0.52,0.3,0.18
id00422,0.56,0.28,0.16
id00424,0.16,0.32,0.52
id00426,0.24,0.1,0.66
id00428,0.24,0.12,0.64
id00430,0.32,0.14,0.54
id00432,0.46,0.16,0.38
id00443,0.7,0,0.3
id00449,0.34,0.1,0.56
id00451,0.32,0.34,0.34
id00456,0.22,0.48,0.3
id00458,0.64,0.2,0.16
id00459,0.48,0.4,0.12
id00461,0.64,0.02,0.34
id00462,0.48,0.46,0.06
id00463,0.18,0.26,0.56
id00468,0.22,0.56,0.22
id00477,0.46,0.16,0.38
id00478,0.7,0.14,0.16
id00479,0.44,0.36,0.2
id00481,0.12,0.62,0.26
id00486,0.18,0.36,0.46
id00487,0.36,0.46,0.18
id00488,0.46,0.2,0.34
id00491,0.86,0.04,0.1
id00492,0.56,0.06,0.38
id00493,0.3,0.38,0.32
id00494,0.1,0.52,0.38
id00497,0.2,0.36,0.44
id00500,0.32,0.44,0.24
id00502,0.46,0.16,0.38
id00503,0.36,0.2,0.44
id00504,0.42,0.18,0.4
id00509,0.12,0.32,0.56
id00511,0.14,0.66,0.2
id00513,0.46,0.12,0.42
id00517,0.34,0.14,0.52
id00525,0.54,0.2,0.26
id00527,0.16,0.6,0.24
id00530,0.24,0.32,0.44
id00534,0.06,0.1,0.84
id00536,0.68,0.2,0.12
id00540,0.72,0.16,0.12
id00543,0.28,0.36,0.36
id00544,0.72,0.12,0.16
id00549,0.28,0.2,0.52
id00557,0.62,0.22,0.16
id00561,0.42,0.46,0.12
id00563,0.86,0.12,0.02
id00565,0.56,0.26,0.18
id00568,0.32,0.44,0.24
id00571,0.28,0.32,0.4
id00573,0.56,0.18,0.26
id00574,0.4,0.32,0.28
id00579,0.26,0.22,0.52
id00580,0.34,0.14,0.52
id00581,0.66,0.2,0.14
id00583,0.24,0.3,0.46
id00585,0.18,0.32,0.5
id00586,0.7,0.12,0.18
id00592,0.56,0.36,0.08
id00595,0.28,0.36,0.36
id00599,0.26,0.12,0.62
id00600,0.36,0.44,0.2
id00603,0.42,0.06,0.52
id00608,0.26,0.32,0.42
id00613,0.26,0.34,0.4
id00617,0.44,0.26,0.3
id00618,0.52,0.22,0.26
id00626,0.52,0.1,0.38
id00627,0.42,0.3,0.28
id00628,0.14,0.12,0.74
id00630,0.6,0.24,0.16
id00641,0.3,0.44,0.26
id00642,0.36,0.34,0.3
id00648,0.48,0.26,0.26
id00652,0.42,0.22,0.36
id00655,0.56,0.12,0.32
id00656,0.32,0.24,0.44
id00658,0.4,0.14,0.46
id00659,0.32,0.32,0.36
id00670,0.68,0.08,0.24
id00678,0.42,0.26,0.32
id00681,0.48,0.28,0.24
id00684,0.78,0.12,0.1
id00686,0.48,0.36,0.16
id00687,0.5,0.2,0.3
id00692,0.44,0.36,0.2
id00696,0.44,0.12,0.44
id00697,0.32,0.16,0.52
id00699,0.24,0.7,0.06
id00701,0.12,0.48,0.4
id00703,0.46,0.2,0.34
id00718,0.52,0.18,0.3
id00721,0.22,0.3,0.48
id00722,0.36,0.4,0.24
id00731,0.24,0.44,0.32
id00735,0.2,0.38,0.42
id00737,0.64,0.24,0.12
id00744,0.7,0.06,0.24
id00751,0.32,0.3,0.38
id00753,0.46,0.24,0.3
id00758,0.26,0.4,0.34
id00759,0.1,0.58,0.32
id00761,0.62,0.2,0.18
id00767,0.58,0.14,0.28
id00770,0.68,0.16,0.16
id00772,0.76,0.22,0.02
id00773,0.26,0.58,0.16
id00780,0.28,0.54,0.18
id00784,0.28,0.22,0.5
id00785,0.66,0.12,0.22
id00794,0.1,0.46,0.44
id00795,0.5,0.24,0.26
id00797,0.38,0.16,0.46
id00803,0.44,0.52,0.04
id00804,0.32,0.26,0.42
id00812,0.36,0.18,0.46
id00814,0.5,0.18,0.32
id00820,0.44,0.22,0.34
id00821,0.32,0.28,0.4
id00823,0.22,0.5,0.28
id00828,0.44,0.12,0.44
id00831,0.28,0.36,0.36
id00835,0.64,0.16,0.2
id00837,0.3,0.54,0.16
id00841,0.44,0.46,0.1
id00842,0.42,0.4,0.18
id00843,0.42,0.3,0.28
id00845,0.82,0.16,0.02
id00846,0.56,0.26,0.18
id00847,0.44,0.26,0.3
id00850,0.66,0.06,0.28
id00858,0.52,0.2,0.28
id00860,0.4,0.38,0.22
id00865,0.26,0.4,0.34
id00868,0.62,0.1,0.28
id00869,0.58,0.02,0.4
id00873,0.58,0.1,0.32
id00874,0.62,0.08,0.3
id00876,0.76,0.04,0.2
id00878,0.4,0.14,0.46
id00879,0.52,0.32,0.16
id00882,0.76,0.14,0.1
id00886,0.42,0.24,0.34
id00896,0.2,0.56,0.24
id00901,0.2,0.48,0.32
id00902,0.34,0.5,0.16
id00903,0.36,0.32,0.32
id00906,0.44,0.44,0.12
id00907,0.52,0.3,0.18
id00910,0.44,0.32,0.24
id00911,0.48,0.04,0.48
id00916,0.38,0.4,0.22
id00926,0.46,0.32,0.22
id00927,0.6,0.06,0.34
id00934,0.34,0.42,0.24
id00935,0.16,0.44,0.4
id00939,0.46,0.44,0.1
id00940,0.72,0.2,0.08
id00942,0.68,0.26,0.06
id00943,0.3,0.56,0.14
id00946,0.48,0.2,0.32
id00955,0.36,0.32,0.32
id00967,0.42,0.22,0.36
id00969,0.56,0.2,0.24
id00970,0.72,0.24,0.04
id00973,0.68,0.12,0.2
id00979,0.42,0.42,0.16
id00985,0.42,0.24,0.34
id00992,0.34,0.48,0.18
id00994,0.3,0.5,0.2
id01006,0.54,0.24,0.22
id01014,0.82,0.04,0.14
id01016,0.36,0.28,0.36
id01017,0.28,0.46,0.26
id01024,0.5,0,0.5
id01034,0.2,0.38,0.42
id01042,0.32,0.4,0.28
id01047,0.58,0.08,0.34
id01049,0.5,0.24,0.26
id01050,0.4,0.3,0.3
id01054,0.74,0.12,0.14
id01055,0.28,0.46,0.26
id01057,0.64,0.08,0.28
id01060,0.58,0.28,0.14
id01062,0.4,0.1,0.5
id01065,0.22,0.7,0.08
id01070,0.38,0.36,0.26
id01072,0.72,0.22,0.06
id01075,0.34,0.58,0.08
id01079,0.24,0.48,0.28
id01082,0.36,0.54,0.1
id01091,0.26,0.52,0.22
id01096,0.4,0.46,0.14
id01099,0.32,0.44,0.24
id01103,0.3,0.32,0.38
id01104,0.8,0.14,0.06
id01109,0.44,0.04,0.52
id01113,0.6,0.08,0.32
id01114,0.6,0.16,0.24
id01116,0.3,0.4,0.3
id01120,0.56,0.3,0.14
id01123,0.9,0.04,0.06
id01125,0.4,0.22,0.38
id01128,0.42,0.02,0.56
id01130,0.32,0.42,0.26
id01133,0.66,0.02,0.32
id01139,0.72,0.06,0.22
id01141,0.48,0.38,0.14
id01142,0.6,0.18,0.22
id01146,0.72,0.22,0.06
id01148,0.48,0.34,0.18
id01151,0.3,0.2,0.5
id01152,0.88,0.02,0.1
id01154,0.34,0.38,0.28
id01156,0.38,0.52,0.1
id01166,0.44,0.28,0.28
id01167,0.28,0.48,0.24
id01170,0.34,0.24,0.42
id01171,0.58,0.16,0.26
id01178,0.36,0.1,0.54
id01184,0.18,0.62,0.2
id01187,0.32,0.52,0.16
id01191,0.22,0.3,0.48
id01193,0.42,0.24,0.34
id01203,0.32,0.44,0.24
id01205,0.2,0.46,0.34
id01208,0.46,0.24,0.3
id01209,0.46,0.1,0.44
id01211,0.38,0.52,0.1
id01212,0.34,0.58,0.08
id01215,0.46,0.36,0.18
id01216,0.26,0.52,0.22
id01217,0.38,0.42,0.2
id01219,0.76,0.2,0.04
id01223,0.48,0.12,0.4
id01228,0.64,0.1,0.26
id01230,0.3,0.32,0.38
id01236,0.36,0.06,0.58
id01240,0.46,0.28,0.26
id01242,0.34,0.16,0.5
id01243,0.3,0.2,0.5
id01246,0.56,0.24,0.2
id01253,0.3,0.06,0.64
id01254,0.22,0.36,0.42
id01255,0.3,0.58,0.12
id01256,0.74,0.14,0.12
id01257,0.18,0.16,0.66
id01260,0.88,0.02,0.1
id01263,0.76,0.04,0.2
id01268,0.6,0.2,0.2
id01276,0.46,0.36,0.18
id01282,0.56,0.14,0.3
id01284,0.72,0.18,0.1
id01296,0.68,0.16,0.16
id01297,0.56,0.32,0.12
id01299,0.46,0.14,0.4
id01303,0.26,0.3,0.44
id01308,0.68,0.08,0.24
id01323,0.86,0.06,0.08
id01326,0.28,0.24,0.48
id01332,0.5,0.16,0.34
id01334,0.4,0.26,0.34
id01338,0.74,0.18,0.08
id01339,0.44,0.34,0.22
id01340,0.92,0.02,0.06
id01352,0.4,0.34,0.26
id01354,0.26,0.48,0.26
id01355,0.18,0.58,0.24
id01356,0.52,0.28,0.2
id01358,0.38,0.4,0.22
id01360,0.4,0.2,0.4
id01362,0.8,0.18,0.02
id01364,0.44,0.48,0.08
id01365,0.36,0.28,0.36
id01379,0.4,0.38,0.22
id01383,0.82,0.04,0.14
id01385,0.14,0.64,0.22
id01388,0.44,0.48,0.08
id01389,0.1,0.62,0.28
id01392,0.36,0.4,0.24
id01407,0.56,0.06,0.38
id01410,0.36,0.08,0.56
id01417,0.26,0.38,0.36
id01420,0.26,0.54,0.2
id01421,0.56,0.26,0.18
id01434,0.5,0.02,0.48
id01438,0.36,0.14,0.5
id01441,0.32,0.38,0.3
id01449,0.44,0.4,0.16
id01452,0.82,0.1,0.08
