id,EAP,HPL,MWS
id00008,0.24,0.24,0.52
id00011,0.46,0.22,0.32
id00013,0.2,0.54,0.26
id00018,0.64,0.22,0.14
id00020,0.38,0.4,0.22
id00023,0.26,0.64,0.1
id00025,0.38,0.44,0.18
id00026,0.16,0.42,0.42
id00040,0.36,0.38,0.26
id00041,0.2,0.22,0.58
id00044,0.28,0.1,0.62
id00046,0.42,0.28,0.3
id00047,0.22,0.26,0.52
id00055,0.16,0.18,0.66
id00058,0.48,0.32,0.2
id00059,0.8,0.08,0.12
id00066,0.56,0.18,0.26
id00069,0.46,0.3,0.24
id00071,0.44,0.22,0.34
id00072,0.44,0.16,0.4
id00074,0.64,0.28,0.08
id00076,0.3,0.3,0.4
id00083,0.34,0.32,0.34
id00085,0.6,0.34,0.06
id00087,0.54,0.22,0.24
id00088,0.46,0.22,0.32
id00089,0.44,0.26,0.3
id00092,0.24,0.06,0.7
id00096,0.44,0.26,0.3
id00101,0.58,0.22,0.2
id00102,0.46,0.32,0.22
id00104,0.64,0.22,0.14
id00105,0.34,0.04,0.62
id00110,0.24,0.16,0.6
id00111,0.26,0.4,0.34
id00112,0.42,0.3,0.28
id00114,0.34,0.48,0.18
id00115,0.68,0.16,0.16
id00116,0.66,0.24,0.1
id00118,0.86,0.04,0.1
id00121,0.62,0.22,0.16
id00124,0.48,0.26,0.26
id00125,0.5,0.36,0.14
id00126,0.2,0.38,0.42
id00132,0.64,0.26,0.1
id00134,0.2,0.52,0.28
id00137,0.32,0.46,0.22
id00139,0.36,0.24,0.4
id00140,0.48,0.22,0.3
id00142,0.26,0.54,0.2
id00157,0.8,0.06,0.14
id00160,0.52,0.24,0.24
id00167,0.36,0.36,0.28
id00173,0.36,0.28,0.36
id00176,0.52,0.22,0.26
id00177,0.2,0.16,0.64
id00178,0.52,0.2,0.28
id00183,0.52,0.26,0.22
id00184,0.38,0.38,0.24
id00189,0.56,0.36,0.08
id00190,0.38,0.32,0.3
id00191,0.52,0.14,0.34
id00192,0.46,0.32,0.22
id00194,0.24,0.14,0.62
id00195,0.78,0.12,0.1
id00196,0.5,0.32,0.18
id00199,0.28,0.28,0.44
id00203,0.42,0.2,0.38
id00206,0.52,0.34,0.14
id00210,0.28,0.54,0.18
id00214,0.4,0.06,0.54
id00215,0.66,0.2,0.14
id00217,0.36,0.32,0.32
id00219,0.4,0.34,0.26
id00228,0.96,0,0.04
id00231,0.18,0.62,0.2
id00233,0.62,0,0.38
id00235,0.38,0.2,0.42
id00240,0.6,0.2,0.2
id00243,0.78,0.1,0.12
id00245,0.42,0.22,0.36
id00247,0.52,0.32,0.16
